date,count
2020-01-24,1
2020-01-25,1
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,1
2020-02-14,2
2020-02-15,8
2020-02-16,5
2020-02-17,0
2020-02-18,3
2020-02-19,3
2020-02-20,0
2020-02-21,3
2020-02-22,1
2020-02-23,0
2020-02-24,3
2020-02-25,0
2020-02-26,3
2020-02-27,1
2020-02-28,0
2020-02-29,1
2020-03-01,2
2020-03-02,0
2020-03-03,1
2020-03-04,4
2020-03-05,8
2020-03-06,6
2020-03-07,6
2020-03-08,0
2020-03-09,0
2020-03-10,3
2020-03-11,6
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,0
2020-03-16,0
2020-03-17,3
2020-03-18,9
2020-03-19,7
2020-03-20,11
2020-03-21,7
2020-03-22,2
2020-03-23,16
2020-03-24,17
2020-03-25,41
2020-03-26,46
2020-03-27,40
2020-03-28,62
2020-03-29,68
2020-03-30,12
2020-03-31,77
2020-04-01,66
2020-04-02,96
2020-04-03,211
2020-04-04,117
2020-04-05,44
2020-04-06,83
2020-04-07,79
2020-04-08,143
2020-04-09,178
2020-04-10,186
2020-04-11,196
2020-04-12,165
2020-04-13,89
2020-04-14,157
2020-04-15,126
2020-04-16,146
2020-04-17,200
2020-04-18,181
2020-04-19,105
2020-04-20,99
2020-04-21,123
2020-04-22,121
2020-04-23,134
2020-04-24,160
2020-04-25,103
2020-04-26,72
2020-04-27,38
2020-04-28,112
2020-04-29,47
2020-04-30,46
2020-05-01,164
2020-05-02,155
2020-05-03,90
2020-05-04,88
2020-05-05,57
2020-05-06,37
2020-05-07,23
2020-05-08,39
2020-05-09,36
2020-05-10,22
2020-05-11,126
2020-05-12,28
2020-05-13,10
2020-05-14,30
2020-05-15,9
2020-05-16,14
2020-05-17,5
2020-05-18,10
2020-05-19,5
2020-05-20,5
2020-05-21,69
2020-05-22,3
2020-05-23,2
2020-05-24,14
2020-05-25,8
2020-05-26,10
2020-05-27,11
2020-05-28,15
2020-05-29,22
2020-05-30,14
2020-05-31,5
