É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/06/09 07:55:43

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),åªínãCà≥(hPa),åªínãCà≥(hPa),åªínãCà≥(hPa),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),èˆãCà≥(hPa),èˆãCà≥(hPa),èˆãCà≥(hPa),ìVãC,ìVãC,ìVãC,â_ó (10ï™î‰),â_ó (10ï™î‰),â_ó (10ï™î‰)
,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2020/3/1 1:00:00,8.5,8,1,0.5,0,8,1,2.0,8,ñk,8,1,1011.7,8,1,96,8,1,10.7,8,1,,0,1,,0,1
2020/3/1 2:00:00,8.3,8,1,0.0,0,8,1,1.9,8,ñkñkêº,8,1,1011.2,8,1,92,8,1,10.1,8,1,,0,1,,0,1
2020/3/1 3:00:00,8.2,8,1,0.0,0,8,1,2.0,8,ñkñkêº,8,1,1011.0,8,1,91,8,1,9.9,8,1,10,8,1,10,8,1
2020/3/1 4:00:00,8.4,8,1,0.0,0,8,1,1.5,8,ñkñkêº,8,1,1010.9,8,1,87,8,1,9.6,8,1,,0,1,,0,1
2020/3/1 5:00:00,7.6,8,1,0,1,8,1,2.4,8,ñk,8,1,1011.4,8,1,90,8,1,9.4,8,1,,0,1,,0,1
2020/3/1 6:00:00,7.3,8,1,0,1,8,1,2.5,8,ñkñkìå,8,1,1012.0,8,1,87,8,1,8.9,8,1,1,8,1,1,8,1
2020/3/1 7:00:00,7.2,8,1,0,1,8,1,2.3,8,ñkñkêº,8,1,1012.4,8,1,87,8,1,8.8,8,1,,0,1,,0,1
2020/3/1 8:00:00,9.6,8,1,0,1,8,1,1.5,8,ñkñkêº,8,1,1013.1,8,1,77,8,1,9.2,8,1,,0,1,,0,1
2020/3/1 9:00:00,11.5,8,1,0,1,8,1,2.6,8,ñkêº,8,1,1013.5,8,1,64,8,1,8.7,8,1,1,8,1,0+,8,1
2020/3/1 10:00:00,13.3,8,1,0,1,8,1,1.8,8,ñkñkêº,8,1,1013.4,8,1,50,8,1,7.6,8,1,,0,1,,0,1
2020/3/1 11:00:00,15.2,8,1,0,1,8,1,1.7,8,ñkñkêº,8,1,1013.0,8,1,49,8,1,8.5,8,1,,0,1,,0,1
