日付,"日本国内
累計罹患者数","日本国内
新規罹患者数",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2020/06/01,16935,37,5,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2020/06/02,16986,51,3,0,0,0,0,0,0,0,1,0,0,1,34,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020/06/03,17016,30,3,0,0,0,0,0,0,0,0,0,2,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020/06/04,17063,47,3,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
2020/06/05,17107,44,4,0,0,0,0,0,0,0,0,2,1,1,20,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020/06/06,17153,46,8,0,0,0,0,0,0,0,0,0,1,0,26,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020/06/07,17191,38,4,0,0,0,0,0,0,0,0,0,0,3,14,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020/06/08,17212,21,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020/06/09,17257,45,7,0,0,0,0,0,0,0,0,0,1,3,12,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020/06/10,17295,38,5,0,0,0,0,0,0,0,0,0,6,2,18,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020/06/11,17337,42,7,0,0,0,0,0,0,0,0,0,3,3,22,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020/06/12,17398,61,10,0,0,0,0,0,0,0,0,0,2,3,25,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0
2020/06/13,17443,45,9,0,0,0,0,0,0,0,0,0,0,1,24,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/06/14,17518,75,7,0,0,0,0,0,0,0,0,0,2,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020/06/15,17590,72,6,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/06/16,17634,44,2,0,0,0,0,0,0,0,0,0,1,0,27,2,0,0,0,0,1,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/06/17,17680,46,6,0,0,0,0,0,0,0,0,0,1,1,16,7,0,0,0,0,0,0,1,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020/06/18,17750,70,5,0,0,1,0,0,1,0,0,0,2,2,41,6,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020/06/19,17808,58,3,0,0,0,0,0,0,0,0,0,2,0,35,2,0,0,0,0,0,1,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2020/06/20,17872,64,3,0,0,0,0,0,0,2,0,0,4,2,39,5,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/21,17927,55,2,0,0,0,0,0,0,0,0,0,7,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/22,17970,43,2,0,0,1,0,0,0,0,0,0,4,2,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020/06/23,18027,57,1,0,0,0,0,0,0,0,0,0,12,3,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2020/06/24,18123,96,10,0,0,1,0,0,0,0,0,1,9,4,55,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/06/25,18205,82,6,0,0,0,0,0,0,0,0,0,11,4,48,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020/06/26,18310,105,5,0,0,1,0,0,0,2,0,0,16,4,54,7,0,0,0,0,2,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020/06/27,18402,92,1,0,0,0,0,0,0,0,3,0,11,5,57,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/06/28,18515,113,17,0,0,2,0,0,0,1,5,0,8,3,60,10,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/29,18625,110,11,0,0,0,0,0,0,1,2,0,13,4,58,6,0,0,0,0,0,0,0,1,1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/06/30,18763,138,13,0,0,0,0,0,0,0,3,1,10,7,54,31,0,0,0,0,0,0,0,0,1,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2020/07/01,18890,127,4,0,0,1,0,0,0,0,3,0,14,6,67,8,0,0,0,0,1,0,1,0,0,0,2,2,10,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0
2020/07/02,19084,194,8,0,0,0,0,0,0,2,2,0,19,11,107,11,0,1,0,0,0,0,3,0,0,0,0,3,8,1,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,9,0
2020/07/03,19334,250,0,0,0,2,0,0,0,6,2,1,26,9,124,24,0,0,0,0,0,0,0,5,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,30,0
2020/07/04,19608,274,1,0,0,1,0,1,0,1,0,1,27,15,131,20,1,0,0,0,0,0,0,0,0,0,0,9,17,1,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,34,0
2020/07/05,19816,208,1,0,0,0,0,0,0,0,1,0,21,7,111,21,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,13,0
2020/07/06,19992,176,0,0,0,0,0,1,0,3,0,0,16,9,102,11,0,0,0,0,0,0,0,0,2,0,0,3,8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0
2020/07/07,20200,208,1,0,0,0,0,0,0,1,1,0,27,11,106,8,0,1,0,0,0,0,0,2,0,0,0,9,12,1,2,0,0,0,0,2,0,3,0,0,0,7,0,0,0,0,0,9,0
2020/07/08,20407,207,4,0,0,1,0,0,0,1,2,0,48,9,75,23,1,0,0,0,0,0,0,1,2,0,1,2,10,3,2,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,3,2
2020/07/09,20762,355,1,1,0,1,0,0,0,1,0,0,22,22,224,25,0,1,0,0,0,0,2,2,0,0,0,5,30,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1
2020/07/10,21192,430,6,1,0,0,0,0,1,7,3,0,44,12,243,32,0,0,0,0,1,0,0,1,0,1,0,10,22,4,5,5,0,0,0,4,0,1,1,0,0,6,0,1,0,0,0,8,1
2020/07/11,21578,386,1,1,0,4,0,0,0,0,0,0,35,13,206,35,1,0,0,0,0,0,0,0,2,1,0,9,28,5,7,4,0,0,0,3,0,0,0,0,0,9,0,2,0,0,0,5,2
2020/07/12,21985,407,4,0,0,2,0,0,0,3,2,0,31,31,206,23,0,0,0,1,0,1,0,2,0,2,2,8,32,6,5,5,1,0,0,1,0,0,0,0,0,5,0,4,0,0,2,8,0
2020/07/13,22244,259,2,0,0,2,0,2,0,3,3,2,26,17,118,16,0,0,0,1,0,1,0,0,2,0,0,9,18,1,4,3,0,0,0,3,0,0,1,0,1,2,0,4,0,0,0,5,0
2020/07/14,22577,333,8,0,0,2,0,0,1,2,5,0,42,25,143,28,0,0,0,0,0,0,3,2,5,0,0,12,20,9,3,1,0,1,1,4,0,0,1,0,0,4,0,1,0,0,0,5,0
2020/07/15,23027,450,13,0,0,2,0,1,0,5,4,4,38,29,165,42,2,0,0,1,0,1,1,1,16,2,1,9,61,12,5,0,0,0,1,7,0,0,1,0,0,9,0,1,0,0,0,3,0
2020/07/16,23651,624,6,1,0,14,0,1,0,2,5,3,49,32,286,47,0,0,0,0,1,1,2,2,21,2,1,13,66,17,7,0,0,0,2,5,1,0,10,0,1,16,0,0,1,0,0,4,1
2020/07/17,24248,597,3,0,0,3,0,0,0,4,6,2,51,20,293,43,0,0,1,1,0,2,4,3,19,1,1,12,53,25,5,3,0,0,2,7,3,0,1,0,0,19,0,1,0,0,0,1,0
2020/07/18,24909,661,13,0,0,3,0,0,0,5,6,1,48,32,290,49,1,1,2,0,0,1,1,2,25,1,0,25,86,12,8,2,0,0,3,2,1,0,1,0,0,24,0,6,0,0,0,1,0
2020/07/19,25420,511,9,0,0,0,0,0,0,5,9,0,38,24,188,30,0,0,0,0,1,0,4,4,21,1,1,12,89,21,3,0,0,0,4,2,0,0,0,0,0,32,0,1,0,0,0,1,2
2020/07/20,25838,418,3,0,0,4,0,0,0,1,3,0,28,18,168,11,0,0,0,0,1,2,3,1,21,1,1,27,49,7,2,4,0,0,2,4,0,0,0,1,0,32,1,4,1,0,0,5,2
2020/07/21,26470,632,10,0,0,0,0,0,0,4,3,2,47,15,237,30,0,2,3,0,1,0,14,5,53,0,6,20,72,12,7,3,0,0,1,8,0,0,0,0,0,53,1,3,1,0,0,2,2
2020/07/22,27265,795,6,0,0,2,0,0,1,5,3,5,62,40,238,68,2,1,0,0,0,0,6,5,64,1,11,19,121,30,8,4,0,1,0,6,1,0,1,0,1,61,6,3,2,0,3,2,2
2020/07/23,28246,981,4,0,0,2,0,0,1,2,5,3,64,33,366,53,0,1,1,1,5,0,8,5,97,2,17,19,104,35,13,9,0,0,1,16,4,0,0,0,0,66,2,0,3,0,4,15,5
2020/07/24,29025,779,6,0,0,0,0,0,0,2,4,0,45,26,260,28,0,0,3,0,1,1,8,7,64,2,6,16,149,23,12,3,0,2,4,7,0,0,0,1,1,52,6,1,1,0,9,14,10
2020/07/25,29826,801,9,0,0,2,1,0,0,0,8,2,35,21,295,18,0,0,0,0,0,1,4,30,78,2,1,4,132,24,4,4,1,0,10,7,0,2,0,0,0,49,3,0,2,0,19,8,14
2020/07/26,30665,839,5,0,0,0,1,0,0,3,4,0,33,22,239,33,2,0,3,2,0,4,11,25,83,5,1,13,141,49,6,6,0,0,2,4,2,0,0,1,1,90,1,1,21,0,8,5,6
2020/07/27,31265,600,5,0,0,5,0,0,0,2,4,0,23,24,131,14,0,1,0,0,2,0,9,14,79,4,2,20,86,12,4,8,0,1,3,6,1,4,0,2,0,49,0,2,33,0,11,3,18
2020/07/28,32250,985,3,0,0,2,0,0,0,15,2,3,55,23,266,33,3,0,1,0,2,6,25,18,114,6,2,31,155,33,6,4,2,0,2,19,1,0,1,2,1,54,2,5,22,2,20,10,21
2020/07/29,33520,1270,5,0,2,4,0,0,1,9,16,1,53,49,250,70,2,0,2,6,0,4,30,16,173,10,6,41,221,46,6,6,2,0,5,17,2,7,0,0,0,101,3,2,21,0,12,3,44
2020/07/30,34828,1308,9,0,1,5,0,0,0,12,6,4,57,49,367,76,4,2,4,2,4,1,17,16,167,1,5,9,190,53,7,2,1,0,5,8,0,1,0,0,0,121,3,5,16,2,15,4,49
2020/07/31,36414,1586,15,1,1,2,0,1,2,14,4,3,57,35,462,53,8,0,1,2,3,2,19,23,199,10,3,29,216,62,9,8,4,0,3,18,0,1,0,0,0,169,7,8,18,2,20,16,71
2020/08/01,37948,1534,18,0,0,5,0,0,0,14,0,1,74,73,472,58,3,5,1,0,4,6,13,16,181,11,8,22,195,32,19,13,1,0,7,18,5,1,0,3,0,121,8,15,26,2,16,4,58
2020/08/02,39279,1331,9,0,0,3,0,0,0,14,4,1,74,51,292,72,2,1,1,1,2,6,7,18,160,12,5,17,194,60,8,4,2,0,2,10,0,2,0,3,1,145,5,23,20,0,30,0,63
2020/08/03,40244,965,23,0,0,6,0,0,0,5,3,2,49,43,258,48,3,4,0,2,4,2,11,2,131,20,18,29,81,27,8,2,0,0,3,9,0,2,0,4,1,75,9,5,6,2,8,0,37
2020/08/04,41490,1246,11,0,0,2,0,0,0,7,5,3,49,47,309,89,1,6,1,3,2,3,17,16,128,11,5,21,193,32,5,1,1,0,3,10,1,2,2,1,0,87,7,18,37,3,12,6,83
2020/08/05,42845,1355,14,0,1,1,0,0,2,10,17,5,64,50,263,81,0,7,0,4,5,3,21,9,148,24,29,27,196,52,9,3,0,0,7,11,1,11,5,0,0,123,10,5,42,1,8,4,74
2020/08/06,44330,1485,11,0,1,3,0,0,2,12,6,6,65,76,360,118,2,5,6,3,10,1,20,9,142,10,6,20,225,61,7,0,2,0,2,7,4,11,4,0,0,136,12,5,10,2,13,7,72
2020/08/07,45935,1605,14,0,1,1,14,0,2,12,8,6,50,65,461,107,4,5,1,1,3,1,15,2,159,23,31,19,255,49,9,0,0,0,4,3,0,1,1,0,1,140,7,4,9,2,7,2,100
2020/08/08,47506,1571,13,0,0,1,2,0,1,12,5,7,84,53,429,128,2,11,11,0,2,0,15,11,180,17,10,21,178,55,16,1,0,2,3,6,6,2,1,1,0,150,5,10,10,2,13,2,84
2020/08/09,48947,1441,11,0,0,0,1,0,0,17,3,5,56,46,331,81,0,3,22,1,1,4,15,8,130,9,8,20,195,48,12,5,0,92,1,5,6,1,1,1,0,108,9,7,3,7,6,0,156
2020/08/10,49785,838,13,0,0,0,0,0,2,6,3,8,42,41,197,38,0,5,12,0,2,1,7,6,101,11,7,8,123,26,6,3,0,3,2,7,2,2,0,5,0,72,3,1,3,5,8,0,51
2020/08/11,50482,697,14,0,0,0,0,0,0,3,3,4,36,18,188,27,0,3,14,0,0,2,3,7,67,3,4,10,101,30,2,2,0,4,2,8,0,1,0,0,0,54,5,3,4,1,2,0,64
2020/08/12,51461,979,4,0,0,2,1,0,2,10,9,7,45,34,222,66,1,3,9,0,3,5,9,10,86,10,9,25,184,36,2,2,0,2,2,3,0,1,0,0,0,77,12,1,10,0,5,0,65
2020/08/13,52634,1173,10,0,1,0,1,0,1,15,4,9,56,46,206,123,0,5,13,0,1,1,8,3,110,6,6,35,177,48,9,3,0,0,2,5,3,8,1,1,0,143,1,2,9,0,5,0,95
2020/08/14,53990,1356,12,1,0,0,1,0,1,12,4,16,56,51,389,117,0,2,13,0,3,5,8,9,88,7,7,30,192,33,13,1,0,0,4,3,1,11,1,1,0,125,5,5,12,1,3,4,105
2020/08/15,55221,1231,14,0,0,0,2,0,3,7,0,9,52,60,385,136,0,4,13,0,1,3,11,11,72,6,7,22,151,53,5,4,0,0,2,1,0,5,1,1,14,75,10,6,11,3,5,15,47
2020/08/16,56238,1017,8,0,1,0,2,0,0,2,7,19,56,48,260,79,0,1,18,1,0,0,1,7,83,3,6,6,147,37,24,2,0,0,1,2,1,4,2,0,5,73,5,1,4,6,6,27,59
2020/08/17,56885,647,5,0,0,1,1,0,1,4,1,9,35,32,161,51,1,6,19,0,2,1,4,1,43,1,9,19,71,24,9,2,0,1,0,0,0,1,2,0,1,50,3,0,5,10,6,5,38
2020/08/18,57801,916,6,0,0,1,1,0,3,7,5,15,24,37,207,84,3,9,11,0,7,1,4,5,57,3,8,26,185,25,37,11,0,0,2,0,1,4,1,0,0,45,1,4,5,7,21,7,33
2020/08/19,58870,1069,8,0,0,1,0,0,4,13,2,15,62,46,186,95,3,6,19,0,10,2,3,5,57,15,7,38,187,49,10,6,1,1,1,2,5,1,0,1,2,103,4,0,10,10,3,2,69
2020/08/20,60048,1178,25,0,2,2,1,1,7,3,2,14,71,64,339,104,2,5,19,1,3,2,9,2,82,15,5,41,132,34,11,4,0,0,2,5,11,1,3,0,0,70,4,2,15,4,6,3,42
2020/08/21,61085,1037,10,0,0,2,0,0,2,11,2,10,50,54,258,82,0,2,8,1,1,9,1,0,90,13,7,38,166,39,13,4,0,0,2,4,0,7,0,1,1,87,7,1,13,3,6,0,30
2020/08/22,62069,984,17,0,0,0,0,0,2,8,0,13,66,43,256,101,1,3,18,4,1,6,5,6,70,6,11,25,134,33,9,2,0,0,2,2,7,0,0,1,1,68,4,6,11,1,8,1,31
2020/08/23,62813,744,14,0,1,1,0,0,1,5,1,6,31,36,212,49,1,2,16,2,3,3,1,5,50,5,7,13,121,24,8,0,0,1,3,1,4,2,0,1,2,63,4,3,5,0,4,1,25
2020/08/24,63306,493,8,0,0,0,0,0,3,4,0,4,30,27,95,39,0,1,7,1,1,11,4,5,43,11,10,7,60,8,2,2,0,1,3,1,3,3,3,0,0,51,2,3,4,2,4,4,22
2020/08/25,64021,715,7,0,1,0,1,0,6,5,0,8,35,33,182,56,0,8,12,7,1,2,5,8,43,0,14,17,119,23,5,0,0,1,1,1,6,2,0,0,0,53,1,4,5,0,5,2,31
2020/08/26,64924,903,7,0,6,0,2,0,5,12,5,16,54,43,236,85,0,10,7,6,3,9,1,6,50,1,8,31,119,28,4,1,0,0,0,0,15,9,1,0,9,60,2,4,5,3,0,1,34
2020/08/27,65787,863,10,2,0,1,0,0,7,8,1,18,69,45,250,66,1,8,13,13,0,6,2,12,39,6,5,27,94,22,4,0,0,0,1,1,6,4,0,0,0,64,2,7,6,1,1,2,34
