人,手法,データセット,サイト
Akinori Saito,1次関数近似,,https://signate.jp/competitions/272/discussions/20200510073852-45734
SHUI,不明(感染者数と接触頻度特性を用いた数学モデル),接触頻度は外部データを使用(https://corporate-web.agoop.net/pdf/covid-19/agoop_analysis_coronavirus.pdf),https://signate.jp/competitions/272/discussions/20200529131814-21004
woool_3gou,不明,ジャッグジャパン株式会社(https://gis.jag-japan.com/covid19jp/) 更新終了,https://signate.jp/competitions/272/discussions/20200420141403-38408
MIKE_BOB,SIRモデル,ジャッグジャパン株式会社(https://gis.jag-japan.com/covid19jp/) 更新終了,https://qiita.com/MIKE_BOB/items/1b432dd3a9ee1e7f37e9
奥村 晴彦,SIRモデル,,https://oku.edu.mie-u.ac.jp/~okumura/python/sir.html
Francois Lemarchand,RNN,Kaggle,https://www.kaggle.com/frlemarchand/covid-19-forecasting-with-an-rnn
yamaday,LSTM,SIGNATE,https://qiita.com/yamaday/items/7ba01eafa76cc877a6c7
ハルトノ・ピトヨ,Topological Autoencoders・LSTM,,https://nc.chukyo-u.ac.jp/news/detail.html?nid=5100
Eswar Chand,ARIMA,Kaggle,https://www.kaggle.com/eswarchandt/timeseries-forecasting-of-covid-19-week-2-arima
Siti Khotijah,ランダムフォレスト,Kaggle,https://www.kaggle.com/khotijahs1/covid19-forecasting-randomforest
佐藤 讓,SEIRモデル,,https://www.es.hokudai.ac.jp/result/2020-05-19-mpe-2/
otai2003,SEIRモデル,,https://qiita.com/kotai2003/items/ed28fb723a335a873061
セーター,ARIMA・SARIMAモデル,,https://resweater.hatenablog.com/entry/2020/04/25/185006
